EgoID,AlterID,Completed_1,Completed_2,Completed_3,Completed_5,Completed_6,Rel.type_1,Rel.type_2,Rel.type_3,Rel.type_5,Rel.type_6,NumOfEvents_1,NumOfEvents_2,NumOfEvents_3,NumOfEvents_5,NumOfEvents_6,RelationshipOverTime,TippingPoint
10353,151633,2011-08-17,2012-02-11,2012-05-09,NA,NA,Friend,NA,NA,NA,NA,5,0,36,0,0,single-desc,NA
10353,194993,2011-08-17,2012-02-11,2012-05-09,NA,NA,NA,NA,Friend,NA,NA,410,136,34,0,0,single-desc,NA
10353,161213,2011-08-17,2012-02-11,2012-05-09,NA,NA,Parent,Parent,Parent,NA,NA,231,61,152,0,0,family-stable,NA
10353,102471,2011-08-17,2012-02-11,2012-05-09,NA,NA,Friend,NA,NA,NA,NA,142,30,298,0,0,single-desc,NA
10353,191852,2011-08-17,2012-02-11,2012-05-09,NA,NA,Friend,NA,NA,NA,NA,146,112,29,0,0,single-desc,NA
10353,156050,2011-08-17,2012-02-11,2012-05-09,NA,NA,NA,Friend,Friend,NA,NA,26,192,94,0,0,friendship-stable,NA
10353,142467,2011-08-17,2012-02-11,2012-05-09,NA,NA,NA,Friend,NA,NA,NA,1,84,111,0,0,single-desc,NA
10353,155718,2011-08-17,2012-02-11,2012-05-09,NA,NA,NA,Friend,NA,NA,NA,0,33,372,0,0,single-desc,NA
10353,139904,2011-08-17,2012-02-11,2012-05-09,NA,NA,Friend,NA,NA,NA,NA,65,0,25,0,0,single-desc,NA
10353,196884,2011-08-17,2012-02-11,2012-05-09,NA,NA,Sibling,Sibling,Sibling,NA,NA,227,151,279,0,0,family-stable,NA
10353,195108,2011-08-17,2012-02-11,2012-05-09,NA,NA,Friend,NA,NA,NA,NA,114,0,215,0,0,single-desc,NA
10353,109024,2011-08-17,2012-02-11,2012-05-09,NA,NA,NA,NA,Friend,NA,NA,0,34,398,0,0,single-desc,NA
10353,133249,2011-08-17,2012-02-11,2012-05-09,NA,NA,Friend,NA,NA,NA,NA,18,0,162,0,0,single-desc,NA
10353,197321,2011-08-17,2012-02-11,2012-05-09,NA,NA,NA,Friend,NA,NA,NA,1,10,24,0,0,single-desc,NA
10353,147802,2011-08-17,2012-02-11,2012-05-09,NA,NA,Friend,NA,NA,NA,NA,4,0,16,0,0,single-desc,NA
10353,129601,2011-08-17,2012-02-11,2012-05-09,NA,NA,NA,Friend,Friend,NA,NA,140,83,299,0,0,friendship-stable,NA
10353,103420,2011-08-17,2012-02-11,2012-05-09,NA,NA,NA,Friend,Friend,NA,NA,47,47,183,0,0,friendship-stable,NA
10353,122333,2011-08-17,2012-02-11,2012-05-09,NA,NA,Significant other,NA,Friend,NA,NA,6320,106,287,0,0,romantic-relaxing,3
10353,162084,2011-08-17,2012-02-11,2012-05-09,NA,NA,Friend,NA,Friend,NA,NA,140,18,105,0,0,friendship-stable,NA
10353,147601,2011-08-17,2012-02-11,2012-05-09,NA,NA,NA,Friend,Friend,NA,NA,1,197,349,0,0,friendship-stable,NA
10353,142501,2011-08-17,2012-02-11,2012-05-09,NA,NA,NA,Friend,Friend,NA,NA,0,27,5,0,0,friendship-stable,NA
10353,110922,2011-08-17,2012-02-11,2012-05-09,NA,NA,Friend,NA,Friend,NA,NA,295,72,408,0,0,friendship-stable,NA
10353,111498,2011-08-17,2012-02-11,2012-05-09,NA,NA,Friend,NA,NA,NA,NA,42,0,211,0,0,single-desc,NA
10841,110203,2011-08-16,2012-01-28,2012-05-18,2013-01-20,2013-05-02,NA,Friend,NA,NA,NA,221,28,131,5,0,single-desc,NA
10841,157060,2011-08-16,2012-01-28,2012-05-18,2013-01-20,2013-05-02,Friend,NA,NA,NA,NA,40,9,23,0,39,single-desc,NA
10841,129153,2011-08-16,2012-01-28,2012-05-18,2013-01-20,2013-05-02,Sibling,Sibling,Parent,Sibling,Sibling,132,98,114,11,37,rnd,NA
10841,150604,2011-08-16,2012-01-28,2012-05-18,2013-01-20,2013-05-02,Parent,Parent,Parent,Parent,Parent,136,136,318,59,343,family-stable,NA
10841,140570,2011-08-16,2012-01-28,2012-05-18,2013-01-20,2013-05-02,Sibling,Sibling,Parent,Sibling,Sibling,89,79,33,11,34,rnd,NA
10841,143098,2011-08-16,2012-01-28,2012-05-18,2013-01-20,2013-05-02,NA,Friend,NA,NA,NA,34,116,6,2,0,single-desc,NA
10841,138473,2011-08-16,2012-01-28,2012-05-18,2013-01-20,2013-05-02,Friend,NA,NA,NA,NA,37,3,0,0,0,single-desc,NA
10841,150998,2011-08-16,2012-01-28,2012-05-18,2013-01-20,2013-05-02,NA,NA,Friend,Friend,Friend,1,240,329,226,135,friendship-stable,NA
10841,151751,2011-08-16,2012-01-28,2012-05-18,2013-01-20,2013-05-02,Friend,Friend,Friend,Friend,Friend,1144,936,631,422,1302,friendship-stable,NA
10841,148061,2011-08-16,2012-01-28,2012-05-18,2013-01-20,2013-05-02,Friend,Friend,Friend,Significant other,Significant other,243,611,1133,365,1620,romantic-strengthening,5
10841,167900,2011-08-16,2012-01-28,2012-05-18,2013-01-20,2013-05-02,NA,Friend,NA,NA,NA,143,86,34,32,0,single-desc,NA
10841,159548,2011-08-16,2012-01-28,2012-05-18,2013-01-20,2013-05-02,Parent,Parent,Parent,Parent,Parent,271,208,253,153,659,family-stable,NA
10841,118001,2011-08-16,2012-01-28,2012-05-18,2013-01-20,2013-05-02,Friend,Friend,NA,NA,NA,184,188,166,53,228,friendship-relaxing,3
10841,102586,2011-08-16,2012-01-28,2012-05-18,2013-01-20,2013-05-02,NA,NA,Friend,NA,NA,0,849,750,68,0,single-desc,NA
10841,109560,2011-08-16,2012-01-28,2012-05-18,2013-01-20,2013-05-02,NA,Friend,NA,NA,NA,124,98,146,225,7,single-desc,NA
10841,195859,2011-08-16,2012-01-28,2012-05-18,2013-01-20,2013-05-02,Friend,NA,NA,NA,NA,137,45,68,4,10,single-desc,NA
10841,197735,2011-08-16,2012-01-28,2012-05-18,2013-01-20,2013-05-02,Friend,NA,NA,NA,NA,14,0,3,4,24,single-desc,NA
10841,165684,2011-08-16,2012-01-28,2012-05-18,2013-01-20,2013-05-02,NA,Friend,NA,NA,NA,37,133,190,73,46,single-desc,NA
10841,183998,2011-08-16,2012-01-28,2012-05-18,2013-01-20,2013-05-02,Friend,Friend,Friend,NA,NA,96,177,180,34,52,friendship-relaxing,5
11023,145547,2011-08-28,2012-02-11,2012-05-17,2013-02-04,NA,Friend,Friend,Friend,NA,NA,121,61,101,62,1,friendship-relaxing,5
11023,186106,2011-08-28,2012-02-11,2012-05-17,2013-02-04,NA,NA,Acquaintance,NA,NA,NA,238,3,0,11,0,single-desc,NA
11023,186301,2011-08-28,2012-02-11,2012-05-17,2013-02-04,NA,NA,NA,Friend,Friend,NA,0,57,93,32,0,friendship-stable,NA
11023,186107,2011-08-28,2012-02-11,2012-05-17,2013-02-04,NA,NA,Other family,NA,NA,NA,25,1,7,0,0,single-desc,NA
