EgoID,AlterID,Completed_1,Completed_2,Completed_3,Completed_4,Completed_5,Completed_6,Completed_7,Completed_8,Rel.type_1,Rel.type_2,Rel.type_3,Rel.type_4,Rel.type_5,Rel.type_6,Rel.type_7,Rel.type_8,NumOfEvents_1,NumOfEvents_2,NumOfEvents_3,NumOfEvents_4,NumOfEvents_5,NumOfEvents_6,NumOfEvents_7,NumOfEvents_8,RelationshipOverTime,TippingPoint
10153,583837,NA,NA,2016-06-26T20:42:08Z,2016-11-01T14:05:24Z,2017-04-10T18:42:23Z,2017-11-14T21:41:54Z,2018-05-05T21:54:11Z,NA,NA,Friend,NA,NA,NA,NA,NA,NA,1939,474,36,441,539,338,111,0,single-desc,NA
10153,694005,NA,NA,2016-06-26T20:42:08Z,2016-11-01T14:05:24Z,2017-04-10T18:42:23Z,2017-11-14T21:41:54Z,2018-05-05T21:54:11Z,NA,NA,Family,NA,NA,NA,NA,NA,NA,1353,239,56,300,130,278,163,13,single-desc,NA
10153,456797,NA,NA,2016-06-26T20:42:08Z,2016-11-01T14:05:24Z,2017-04-10T18:42:23Z,2017-11-14T21:41:54Z,2018-05-05T21:54:11Z,NA,NA,Family,NA,NA,NA,NA,NA,NA,1008,147,109,96,229,116,115,18,single-desc,NA
10237,549070,2015-08-06T12:56:11Z,2016-02-05T20:07:41Z,2016-06-26T22:17:59Z,2016-11-01T15:29:04Z,2017-04-10T21:23:55Z,2017-11-15T22:06:52Z,2018-05-01T20:00:49Z,2019-04-16T12:42:13Z,NA,Family,NA,NA,Family,Family,NA,NA,605,332,480,659,1170,1652,623,493,family-relaxing,7
10469,607166,NA,NA,2016-06-27T00:03:30Z,2016-11-13T23:37:46Z,2017-04-23T23:47:09Z,2017-11-28T00:44:35Z,NA,NA,NA,Friend,NA,NA,NA,NA,NA,NA,1529,593,333,281,276,46,0,0,single-desc,NA
10469,391215,NA,NA,2016-06-27T00:03:30Z,2016-11-13T23:37:46Z,2017-04-23T23:47:09Z,2017-11-28T00:44:35Z,NA,NA,NA,Friend,NA,NA,NA,NA,NA,NA,1175,55,230,380,403,107,0,0,single-desc,NA
10469,525877,NA,NA,2016-06-27T00:03:30Z,2016-11-13T23:37:46Z,2017-04-23T23:47:09Z,2017-11-28T00:44:35Z,NA,NA,NA,Friend,Friend,Friend,NA,NA,NA,NA,1929,828,711,262,128,0,0,0,friendship-relaxing,5
10469,29733,NA,NA,2016-06-27T00:03:30Z,2016-11-13T23:37:46Z,2017-04-23T23:47:09Z,2017-11-28T00:44:35Z,NA,NA,NA,Friend,Friend,NA,NA,NA,NA,NA,1241,245,681,217,98,0,0,0,friendship-relaxing,4
10469,566365,NA,NA,2016-06-27T00:03:30Z,2016-11-13T23:37:46Z,2017-04-23T23:47:09Z,2017-11-28T00:44:35Z,NA,NA,NA,Friend,NA,NA,NA,NA,NA,NA,577,244,205,7,121,0,0,0,single-desc,NA
10469,38824,NA,NA,2016-06-27T00:03:30Z,2016-11-13T23:37:46Z,2017-04-23T23:47:09Z,2017-11-28T00:44:35Z,NA,NA,NA,Friend,NA,NA,NA,NA,NA,NA,1402,893,471,12,26,0,0,0,single-desc,NA
10469,39129,NA,NA,2016-06-27T00:03:30Z,2016-11-13T23:37:46Z,2017-04-23T23:47:09Z,2017-11-28T00:44:35Z,NA,NA,NA,Friend,NA,NA,NA,NA,NA,NA,2779,106,273,324,678,756,536,106,single-desc,NA
10469,317106,NA,NA,2016-06-27T00:03:30Z,2016-11-13T23:37:46Z,2017-04-23T23:47:09Z,2017-11-28T00:44:35Z,NA,NA,NA,Friend,NA,NA,NA,NA,NA,NA,815,680,104,0,0,0,0,0,single-desc,NA
10469,840577,NA,NA,2016-06-27T00:03:30Z,2016-11-13T23:37:46Z,2017-04-23T23:47:09Z,2017-11-28T00:44:35Z,NA,NA,NA,Friend,NA,NA,NA,NA,NA,NA,811,553,197,37,0,0,0,0,single-desc,NA
10469,70661,NA,NA,2016-06-27T00:03:30Z,2016-11-13T23:37:46Z,2017-04-23T23:47:09Z,2017-11-28T00:44:35Z,NA,NA,NA,Friend,NA,NA,NA,NA,NA,NA,112,0,108,4,0,0,0,0,single-desc,NA
10469,75149,NA,NA,2016-06-27T00:03:30Z,2016-11-13T23:37:46Z,2017-04-23T23:47:09Z,2017-11-28T00:44:35Z,NA,NA,NA,Friend,NA,NA,NA,NA,NA,NA,508,93,355,25,0,0,0,0,single-desc,NA
10469,510492,NA,NA,2016-06-27T00:03:30Z,2016-11-13T23:37:46Z,2017-04-23T23:47:09Z,2017-11-28T00:44:35Z,NA,NA,NA,Family,NA,NA,NA,NA,NA,NA,1225,171,491,299,120,80,0,0,single-desc,NA
10469,664629,NA,NA,2016-06-27T00:03:30Z,2016-11-13T23:37:46Z,2017-04-23T23:47:09Z,2017-11-28T00:44:35Z,NA,NA,NA,Family,NA,NA,NA,NA,NA,NA,201,67,42,35,21,30,0,0,single-desc,NA
