SenderID;ReceiverID;EventTime;EventType;EventLength
72912;10115;2015-08-22 19:54:43;1;NA
10115;72912;2015-08-22 20:20:53;1;NA
10115;72912;2015-08-22 20:21:00;1;NA
72912;10115;2015-08-22 20:21:33;1;NA
10115;72912;2015-08-22 21:00:43;1;NA
72912;10115;2015-08-22 21:01:31;1;NA
72912;10115;2015-08-22 22:34:56;1;NA
72912;10115;2015-08-22 22:53:48;1;NA
10115;72912;2015-08-22 23:04:42;1;NA
72912;10115;2015-08-22 23:04:54;1;NA
72912;10115;2015-08-22 23:09:31;1;NA
72912;10115;2015-08-22 23:52:14;1;NA
10115;72912;2015-08-23 00:19:32;1;NA
72912;10115;2015-08-23 00:19:53;1;NA
72912;10115;2015-08-23 00:21:29;1;NA
72912;10115;2015-08-23 17:58:02;1;NA
10115;72912;2015-08-23 19:58:34;1;NA
72912;10115;2015-08-23 20:27:57;1;NA
72912;10115;2015-08-23 20:28:18;1;NA
10115;72912;2015-08-23 20:57:17;1;NA
10115;72912;2015-08-23 20:57:37;1;NA
72912;10115;2015-08-23 21:00:04;1;NA
72912;10115;2015-08-23 21:13:07;1;NA
10115;72912;2015-08-23 21:43:38;1;NA
10115;72912;2015-08-24 02:41:53;1;NA
72912;10115;2015-08-24 11:33:41;1;NA
72912;10115;2015-08-24 20:56:07;1;NA
10115;72912;2015-08-24 21:38:30;3;NA
10115;72912;2015-08-24 21:38:30;1;NA
72912;10115;2015-08-24 21:45:31;1;NA
10115;72912;2015-08-24 21:47:36;1;NA
72912;10115;2015-08-24 21:50:55;1;NA
10115;72912;2015-08-24 21:51:33;1;NA
10115;72912;2015-08-24 21:51:36;1;NA
72912;10115;2015-08-24 21:52:38;1;NA
10115;72912;2015-08-24 21:56:14;1;NA
72912;10115;2015-08-24 21:57:13;1;NA
72912;10115;2015-08-24 22:01:32;1;NA
10115;72912;2015-08-24 22:14:04;1;NA
72912;10115;2015-08-24 22:14:33;1;NA
72912;10115;2015-08-24 22:14:51;1;NA
10115;72912;2015-08-24 22:21:17;1;NA
72912;10115;2015-08-24 22:27:02;1;NA
10115;72912;2015-08-25 08:48:38;1;NA
10115;72912;2015-08-25 08:48:54;1;NA
72912;10115;2015-08-25 09:28:28;1;NA
72912;10115;2015-08-25 12:37:48;1;NA
72912;10115;2015-08-25 17:32:15;1;NA
10115;72912;2015-08-25 18:57:41;1;NA
72912;10115;2015-08-25 18:58:25;1;NA
10115;72912;2015-08-25 19:15:47;1;NA
72912;10115;2015-08-25 19:18:20;1;NA
10115;72912;2015-08-25 21:50:47;1;NA
72912;10115;2015-08-25 21:51:43;1;NA
10115;72912;2015-08-25 21:52:18;1;NA
72912;10115;2015-08-25 21:53:30;1;NA
72912;10115;2015-08-25 21:59:12;1;NA
10115;72912;2015-08-25 22:04:44;1;NA
72912;10115;2015-08-25 22:07:44;1;NA
72912;10115;2015-08-25 22:16:35;1;NA
10115;72912;2015-08-25 22:34:30;1;NA
72912;10115;2015-08-25 22:37:33;1;NA
72912;10115;2015-08-25 22:58:44;1;NA
10115;72912;2015-08-26 00:03:11;3;NA
10115;72912;2015-08-26 00:03:11;1;NA
72912;10115;2015-08-26 00:04:33;1;NA
10115;72912;2015-08-26 00:04:49;1;NA
72912;10115;2015-08-26 00:04:58;1;NA
72912;10115;2015-08-26 00:06:49;3;NA
72912;10115;2015-08-26 00:06:49;1;NA
72912;10115;2015-08-26 00:07:01;1;NA
10115;72912;2015-08-26 00:13:18;1;NA
72912;10115;2015-08-26 00:17:39;1;NA
72912;10115;2015-08-26 11:20:27;1;NA
10115;72912;2015-08-26 11:24:51;1;NA
72912;10115;2015-08-26 11:28:09;1;NA
72912;10115;2015-08-26 12:35:32;1;NA
10115;72912;2015-08-26 13:01:07;1;NA
72912;10115;2015-08-26 13:49:35;1;NA
72912;10115;2015-08-26 13:52:27;1;NA
10115;72912;2015-08-26 14:16:07;1;NA
72912;10115;2015-08-26 14:21:16;1;NA
72912;10115;2015-08-26 19:58:20;1;NA
72912;10115;2015-08-27 18:28:42;1;NA
10115;72912;2015-08-27 21:29:31;1;NA
72912;10115;2015-08-27 21:34:38;1;NA
10115;72912;2015-08-27 21:40:49;1;NA
72912;10115;2015-08-27 21:45:02;1;NA
72912;10115;2015-08-28 12:35:09;1;NA
10115;72912;2015-08-28 12:51:50;1;NA
72912;10115;2015-08-28 12:56:28;1;NA
72912;10115;2015-08-28 12:56:37;1;NA
10115;72912;2015-08-28 13:07:14;1;NA
72912;10115;2015-08-28 13:10:11;1;NA
72912;10115;2015-08-29 20:32:12;1;NA
10115;72912;2015-08-29 21:48:19;1;NA
72912;10115;2015-08-29 21:49:10;1;NA
72912;10115;2015-09-03 20:28:57;1;NA
10115;72912;2015-09-03 21:07:17;1;NA
72912;10115;2015-09-03 21:08:10;1;NA
10115;72912;2015-09-03 21:10:02;1;NA
10115;72912;2015-09-03 21:10:11;1;NA
72912;10115;2015-09-03 21:10:56;1;NA
10115;72912;2015-09-03 21:25:14;1;NA
72912;10115;2015-09-03 21:27:18;1;NA
72912;10115;2015-09-03 21:27:24;1;NA
10115;72912;2015-09-03 23:36:36;1;NA
72912;10115;2015-09-03 23:43:16;1;NA
10115;72912;2015-09-03 23:45:04;1;NA
72912;10115;2015-09-03 23:46:53;1;NA
10115;72912;2015-09-03 23:48:03;1;NA
72912;10115;2015-09-03 23:50:10;1;NA
10115;72912;2015-09-04 00:10:57;1;NA
10115;72912;2015-09-04 00:11:10;1;NA
10115;72912;2015-09-04 00:11:14;1;NA
10115;72912;2015-09-04 00:11:20;1;NA
72912;10115;2015-09-04 00:13:19;1;NA
10115;72912;2015-09-04 00:14:11;1;NA
72912;10115;2015-09-04 12:33:18;1;NA
72912;10115;2015-09-04 18:41:23;1;NA
10115;72912;2015-09-04 18:42:14;1;NA
72912;10115;2015-09-04 18:42:27;1;NA
10115;72912;2015-09-04 18:42:41;1;NA
72912;10115;2015-09-04 18:43:22;1;NA
10115;72912;2015-09-04 18:44:28;1;NA
72912;10115;2015-09-04 18:45:14;1;NA
72912;10115;2015-09-04 18:45:32;1;NA
72912;10115;2015-09-05 15:34:36;1;NA
72912;10115;2015-09-06 11:46:18;1;NA
10115;72912;2015-09-06 12:59:41;1;NA
72912;10115;2015-09-06 13:21:06;1;NA
72912;10115;2015-09-06 18:53:41;1;NA
10115;72912;2015-09-06 21:58:16;1;NA
10115;72912;2015-09-09 12:27:57;1;NA
92038;10115;2015-09-09 12:35:27;3;NA
92038;10115;2015-09-09 12:35:27;3;NA
92038;10115;2015-09-09 12:35:27;3;NA
92038;10115;2015-09-09 12:35:27;3;NA
92038;10115;2015-09-09 12:35:27;1;NA
