EgoID,AlterID,Completed_1,Completed_2,Completed_3,Completed_4,Completed_5,Completed_6,Completed_7,Completed_8,Rel.type_1,Rel.type_2,Rel.type_3,Rel.type_4,Rel.type_5,Rel.type_6,Rel.type_7,Rel.type_8,NumOfEvents_1,NumOfEvents_2,NumOfEvents_3,NumOfEvents_4,NumOfEvents_5,NumOfEvents_6,NumOfEvents_7,NumOfEvents_8,RelationshipOverTime,TippingPoint,before.NLL,after.NLL,before.K,before.c,before.theta,before.lambda,after.K,after.c,after.theta,after.lambda
10237,395167,2015-08-06 12:56:11,2016-02-05 20:07:41,2016-06-26 22:17:59,2016-11-01 15:29:04,2017-04-10 21:23:55,2017-11-15 22:06:52,2018-05-01 20:00:49,2019-04-16 12:42:13,Family,Family,NA,NA,Family,Family,NA,NA,368,34,480,584,522,694,410,212,family-relaxing,7,-0.4962733812949641,-0.6472860635696828,0.0452969,0.00817138,0.472957,0.00710975,0.0436537,0.0094282,0.504686,0.00962774
10469,525877,NA,NA,2016-06-27 00:03:30,2016-11-13 23:37:46,2017-04-23 23:47:09,2017-11-28 00:44:35,NA,NA,NA,Friend,Friend,Friend,NA,NA,NA,NA,1929,828,711,262,128,0,0,0,friendship-relaxing,5,-1.074750957854406,-0.5434351145038154,0.0427569,0.00615649,0.444069,0.0203474,0.0461808,0.00561674,0.410692,0.0112749
10469,207787,NA,NA,2016-06-27 00:03:30,2016-11-13 23:37:46,2017-04-23 23:47:09,2017-11-28 00:44:35,NA,NA,NA,Family,Family,Family,NA,NA,NA,NA,2638,294,637,443,791,473,0,0,family-relaxing,5,-1.0233783783783785,-2.7962247474747475,0.0173838,0.00702465,0.729422,0.0175361,0.0173,0.0062822,0.699633,0.0208525
10153,363337,NA,NA,2016-06-26 20:42:08,2016-11-01 14:05:24,2017-04-10 18:42:23,2017-11-14 21:41:54,2018-05-05 21:54:11,NA,NA,NA,Family,Family,NA,NA,NA,NA,2676,441,412,430,206,344,394,34,family-relaxing,5,-0.1373071593533489,0.43459420289855105,0.0397691,0.00821736,0.499091,0.0123466,0.0421365,0.00695452,0.450516,0.0132178
10237,549070,2015-08-06 12:56:11,2016-02-05 20:07:41,2016-06-26 22:17:59,2016-11-01 15:29:04,2017-04-10 21:23:55,2017-11-15 22:06:52,2018-05-01 20:00:49,2019-04-16 12:42:13,NA,Family,NA,NA,Family,Family,NA,NA,605,332,480,659,1170,1652,623,493,family-relaxing,7,-0.4626438452237001,0.4488220257234727,0.0408576,0.0101314,0.479405,0.0377459,0.0391625,0.00846728,0.472257,0.0412327
